CASE #,DATE  OF OCCURRENCE,PRIMARY DESCRIPTION,SECONDARY DESCRIPTION,LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,DISTRICT
HX336719,7/7/14,THEFT,$500 AND UNDER,BARBERSHOP,FALSE,FALSE,923,4
HX339685,9/7/14,THEFT,$500 AND UNDER,BARBERSHOP,FALSE,FALSE,414,4
HX339392,10/7/14,ASSAULT,SIMPLE,BARBERSHOP,TRUE,FALSE,2222,9
HX344248,14/7/14,CRIMINAL DAMAGE,TO PROPERTY,BARBERSHOP,FALSE,FALSE,2411,10
HX346670,15/7/14,ASSAULT,AGGRAVATED: HANDGUN,BARBERSHOP,TRUE,FALSE,221,14
HX349137,17/7/14,DECEPTIVE PRACTICE,FORGERY,BARBERSHOP,FALSE,FALSE,2511,22
HX349947,17/7/14,CRIMINAL DAMAGE,TO PROPERTY,BARBERSHOP,FALSE,FALSE,2525,24
HX350730,18/7/14,OTHER OFFENSE,TELEPHONE THREAT,BARBERSHOP,FALSE,FALSE,1433,25
HX350799,18/7/14,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,BARBERSHOP,FALSE,FALSE,1024,25
HX339846,6/7/14,BURGLARY,FORCIBLE ENTRY,BOAT/WATERCRAFT,TRUE,FALSE,1914,1
HX338860,10/7/14,BURGLARY,ATTEMPT FORCIBLE ENTRY,BOAT/WATERCRAFT,TRUE,FALSE,1914,18
HX349909,11/7/14,THEFT,OVER $500,BOAT/WATERCRAFT,FALSE,FALSE,1822,19
HX353092,13/7/14,BURGLARY,FORCIBLE ENTRY,BOAT/WATERCRAFT,FALSE,FALSE,1934,19
HX349236,15/7/14,CRIMINAL DAMAGE,TO PROPERTY,BOAT/WATERCRAFT,FALSE,FALSE,114,19
HX336999,8/7/14,BATTERY,AGGRAVATED: OTHER DANG WEAPON,BRIDGE,TRUE,FALSE,1834,18
HX344484,7/7/14,THEFT,$500 AND UNDER,CAR WASH,FALSE,FALSE,1921,6
HX422951,17/7/14,MOTOR VEHICLE THEFT,"TRUCK, BUS, MOTOR HOME",CAR WASH,FALSE,FALSE,712,7
HX349415,17/7/14,BATTERY,DOMESTIC BATTERY SIMPLE,CAR WASH,FALSE,FALSE,2211,19
HX349794,18/7/14,OTHER OFFENSE,POSSESSION OF BURGLARY TOOLS,CAR WASH,TRUE,FALSE,2212,22
HX350754,18/7/14,THEFT,$500 AND UNDER,CAR WASH,FALSE,FALSE,623,22
HX333494,6/7/14,CRIMINAL DAMAGE,TO STATE SUP PROP,CHA APARTMENT,FALSE,TRUE,533,1
HX335772,7/7/14,CRIMINAL TRESPASS,TO RESIDENCE,CHA APARTMENT,FALSE,FALSE,1422,2
HX337424,8/7/14,BATTERY,DOMESTIC BATTERY SIMPLE,CHA APARTMENT,FALSE,FALSE,311,2
HX336269,8/7/14,ASSAULT,SIMPLE,CHA APARTMENT,FALSE,FALSE,634,2
HX337883,8/7/14,BATTERY,SIMPLE,CHA APARTMENT,FALSE,FALSE,634,3
HX337322,8/7/14,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,CHA APARTMENT,TRUE,FALSE,434,4
HX337638,9/7/14,CRIMINAL DAMAGE,TO STATE SUP PROP,CHA APARTMENT,FALSE,FALSE,925,4
HX338656,9/7/14,THEFT,$500 AND UNDER,CHA APARTMENT,FALSE,FALSE,533,4
HX338798,10/7/14,BATTERY,DOMESTIC BATTERY SIMPLE,CHA APARTMENT,FALSE,TRUE,723,5
HX339656,10/7/14,ASSAULT,SIMPLE,CHA APARTMENT,FALSE,FALSE,533,5
HX340455,11/7/14,BATTERY,DOMESTIC BATTERY SIMPLE,CHA APARTMENT,TRUE,FALSE,214,5
HX342697,12/7/14,BATTERY,DOMESTIC BATTERY SIMPLE,CHA APARTMENT,TRUE,TRUE,1225,5
HX342978,13/7/14,CRIMINAL DAMAGE,TO PROPERTY,CHA APARTMENT,FALSE,TRUE,1135,5
HX343875,13/7/14,BATTERY,DOMESTIC BATTERY SIMPLE,CHA APARTMENT,TRUE,TRUE,533,5
HX344161,14/7/14,BATTERY,DOMESTIC BATTERY SIMPLE,CHA APARTMENT,FALSE,TRUE,434,5
HX345360,14/7/14,CRIMINAL DAMAGE,TO STATE SUP PROP,CHA APARTMENT,FALSE,FALSE,533,6
HX345514,14/7/14,BATTERY,DOMESTIC BATTERY SIMPLE,CHA APARTMENT,TRUE,TRUE,1423,6
HX346814,15/7/14,THEFT,OVER $500,CHA APARTMENT,FALSE,FALSE,533,7
HX347319,15/7/14,ASSAULT,SIMPLE,CHA APARTMENT,FALSE,FALSE,1814,9
HX346529,15/7/14,ASSAULT,SIMPLE,CHA APARTMENT,FALSE,FALSE,915,9
HX346735,15/7/14,BATTERY,DOMESTIC BATTERY SIMPLE,CHA APARTMENT,TRUE,FALSE,133,11
HX347950,16/7/14,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,CHA APARTMENT,FALSE,TRUE,213,12
HX356693,17/7/14,OTHER OFFENSE,HARASSMENT BY TELEPHONE,CHA APARTMENT,FALSE,FALSE,213,12
HX349578,17/7/14,CRIMINAL DAMAGE,TO PROPERTY,CHA APARTMENT,FALSE,FALSE,533,14
HX349995,18/7/14,THEFT,$500 AND UNDER,CHA APARTMENT,FALSE,FALSE,434,14
HX350789,18/7/14,NARCOTICS,MANU/DEL:CANNABIS 10GM OR LESS,CHA APARTMENT,TRUE,FALSE,1233,18
HX333305,6/7/14,CRIMINAL TRESPASS,TO STATE SUP LAND,CHA HALLWAY/STAIRWELL/ELEVATOR,TRUE,FALSE,133,1
HX333437,6/7/14,BATTERY,DOMESTIC BATTERY SIMPLE,CHA HALLWAY/STAIRWELL/ELEVATOR,FALSE,TRUE,424,4
HX334999,7/7/14,BATTERY,SIMPLE,CHA HALLWAY/STAIRWELL/ELEVATOR,FALSE,FALSE,434,4
HX336254,8/7/14,ASSAULT,SIMPLE,CHA HALLWAY/STAIRWELL/ELEVATOR,FALSE,FALSE,1231,10
HX337971,9/7/14,ASSAULT,AGG PO HANDS NO/MIN INJURY,CHA HALLWAY/STAIRWELL/ELEVATOR,TRUE,FALSE,1021,10
HX339004,10/7/14,BATTERY,DOMESTIC BATTERY SIMPLE,CHA HALLWAY/STAIRWELL/ELEVATOR,FALSE,TRUE,1821,12
HX339466,10/7/14,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,CHA HALLWAY/STAIRWELL/ELEVATOR,FALSE,FALSE,1225,12
HX345003,14/7/14,CRIMINAL TRESPASS,TO STATE SUP LAND,CHA HALLWAY/STAIRWELL/ELEVATOR,FALSE,FALSE,1023,12
HX405973,16/7/14,ASSAULT,SIMPLE,CHA HALLWAY/STAIRWELL/ELEVATOR,FALSE,FALSE,1224,18
HX333829,6/7/14,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,CHA PARKING LOT/GROUNDS,TRUE,FALSE,533,1
HX334575,7/7/14,ASSAULT,SIMPLE,CHA PARKING LOT/GROUNDS,FALSE,TRUE,1232,1
HX335376,7/7/14,ASSAULT,SIMPLE,CHA PARKING LOT/GROUNDS,FALSE,FALSE,533,1
HX336897,7/7/14,CRIMINAL DAMAGE,TO VEHICLE,CHA PARKING LOT/GROUNDS,FALSE,FALSE,1034,1
HX335699,7/7/14,CRIMINAL TRESPASS,TO STATE SUP LAND,CHA PARKING LOT/GROUNDS,TRUE,FALSE,133,1
HX335865,8/7/14,CRIMINAL TRESPASS,TO STATE SUP LAND,CHA PARKING LOT/GROUNDS,TRUE,FALSE,1423,1
HX335933,8/7/14,NARCOTICS,POSS: CRACK,CHA PARKING LOT/GROUNDS,TRUE,FALSE,424,1
HX336175,8/7/14,CRIMINAL DAMAGE,TO VEHICLE,CHA PARKING LOT/GROUNDS,FALSE,FALSE,533,2
HX336898,8/7/14,CRIMINAL TRESPASS,TO STATE SUP LAND,CHA PARKING LOT/GROUNDS,TRUE,FALSE,1823,2
HX337290,8/7/14,BATTERY,SIMPLE,CHA PARKING LOT/GROUNDS,FALSE,FALSE,533,2
HX337280,8/7/14,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,CHA PARKING LOT/GROUNDS,TRUE,FALSE,133,2
HX337366,9/7/14,CRIMINAL TRESPASS,TO LAND,CHA PARKING LOT/GROUNDS,TRUE,FALSE,312,3
HX358062,9/7/14,THEFT,$500 AND UNDER,CHA PARKING LOT/GROUNDS,FALSE,FALSE,311,3
HX337779,9/7/14,CRIMINAL TRESPASS,TO STATE SUP LAND,CHA PARKING LOT/GROUNDS,TRUE,FALSE,915,3
HX337839,9/7/14,NARCOTICS,POSS: HEROIN(BRN/TAN),CHA PARKING LOT/GROUNDS,TRUE,FALSE,915,4
HX338338,9/7/14,CRIMINAL TRESPASS,TO LAND,CHA PARKING LOT/GROUNDS,TRUE,FALSE,133,4
HX338458,9/7/14,BATTERY,SIMPLE,CHA PARKING LOT/GROUNDS,FALSE,FALSE,1222,4
HX338569,9/7/14,CRIMINAL TRESPASS,TO LAND,CHA PARKING LOT/GROUNDS,TRUE,FALSE,1823,5
HX338700,9/7/14,CRIMINAL TRESPASS,TO STATE SUP LAND,CHA PARKING LOT/GROUNDS,TRUE,FALSE,1423,5
HX338722,9/7/14,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,CHA PARKING LOT/GROUNDS,TRUE,FALSE,424,5
HX338768,10/7/14,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING JUSTICE,CHA PARKING LOT/GROUNDS,TRUE,FALSE,1823,5
HX339882,10/7/14,BATTERY,SIMPLE,CHA PARKING LOT/GROUNDS,TRUE,FALSE,212,5
HX339908,10/7/14,CRIMINAL TRESPASS,TO STATE SUP LAND,CHA PARKING LOT/GROUNDS,TRUE,FALSE,1233,5
HX339979,10/7/14,CRIMINAL TRESPASS,TO STATE SUP LAND,CHA PARKING LOT/GROUNDS,TRUE,FALSE,1823,5
HX341365,11/7/14,BATTERY,SIMPLE,CHA PARKING LOT/GROUNDS,TRUE,FALSE,133,5
HX342519,12/7/14,BATTERY,SIMPLE,CHA PARKING LOT/GROUNDS,TRUE,FALSE,212,5
HX343421,13/7/14,CRIMINAL TRESPASS,TO STATE SUP LAND,CHA PARKING LOT/GROUNDS,TRUE,FALSE,1823,5
HX343751,13/7/14,CRIMINAL TRESPASS,TO LAND,CHA PARKING LOT/GROUNDS,TRUE,FALSE,133,5
HX343764,13/7/14,BATTERY,SIMPLE,CHA PARKING LOT/GROUNDS,FALSE,FALSE,533,9
HX343912,13/7/14,NARCOTICS,MANU/DEL:CANNABIS 10GM OR LESS,CHA PARKING LOT/GROUNDS,TRUE,FALSE,1233,9
HX343923,13/7/14,CRIMINAL TRESPASS,TO STATE SUP LAND,CHA PARKING LOT/GROUNDS,TRUE,FALSE,1423,9
HX344164,14/7/14,BATTERY,SIMPLE,CHA PARKING LOT/GROUNDS,TRUE,FALSE,1412,10
HX344687,14/7/14,CRIMINAL TRESPASS,TO STATE SUP LAND,CHA PARKING LOT/GROUNDS,TRUE,FALSE,1823,12
HX345219,14/7/14,CRIMINAL TRESPASS,TO STATE SUP LAND,CHA PARKING LOT/GROUNDS,TRUE,FALSE,434,12
HX345461,14/7/14,CRIMINAL TRESPASS,TO STATE SUP LAND,CHA PARKING LOT/GROUNDS,TRUE,FALSE,1824,12
HX345447,14/7/14,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,CHA PARKING LOT/GROUNDS,TRUE,FALSE,533,12
HX345543,14/7/14,ROBBERY,STRONGARM - NO WEAPON,CHA PARKING LOT/GROUNDS,FALSE,FALSE,533,12
HX345528,14/7/14,ASSAULT,AGG PO HANDS NO/MIN INJURY,CHA PARKING LOT/GROUNDS,TRUE,FALSE,533,12
HX347431,16/7/14,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,CHA PARKING LOT/GROUNDS,TRUE,FALSE,212,14
HX347672,16/7/14,CRIMINAL TRESPASS,TO LAND,CHA PARKING LOT/GROUNDS,TRUE,FALSE,913,14
HX348001,16/7/14,WEAPONS VIOLATION,UNLAWFUL USE OTHER FIREARM,CHA PARKING LOT/GROUNDS,FALSE,FALSE,1223,14
HX348614,17/7/14,CRIMINAL TRESPASS,TO LAND,CHA PARKING LOT/GROUNDS,TRUE,FALSE,1413,14
HX348955,17/7/14,BATTERY,SIMPLE,CHA PARKING LOT/GROUNDS,FALSE,FALSE,312,14
HX349221,17/7/14,CRIMINAL TRESPASS,TO STATE SUP LAND,CHA PARKING LOT/GROUNDS,TRUE,FALSE,133,14
HX349385,17/7/14,ASSAULT,SIMPLE,CHA PARKING LOT/GROUNDS,FALSE,FALSE,533,18
HX349528,17/7/14,BATTERY,AGGRAVATED: HANDGUN,CHA PARKING LOT/GROUNDS,FALSE,FALSE,533,18
HX350251,18/7/14,CRIMINAL TRESPASS,TO STATE SUP LAND,CHA PARKING LOT/GROUNDS,TRUE,FALSE,1823,18
HX350405,18/7/14,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,CHA PARKING LOT/GROUNDS,TRUE,FALSE,533,18
HX350670,18/7/14,CRIMINAL TRESPASS,TO STATE SUP LAND,CHA PARKING LOT/GROUNDS,TRUE,FALSE,133,18
HX350759,18/7/14,CRIMINAL TRESPASS,TO STATE SUP LAND,CHA PARKING LOT/GROUNDS,TRUE,FALSE,1412,18
HX350792,18/7/14,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,CHA PARKING LOT/GROUNDS,FALSE,FALSE,213,18
HX350968,18/7/14,CRIMINAL TRESPASS,TO STATE SUP LAND,CHA PARKING LOT/GROUNDS,TRUE,FALSE,1223,18
HX332838,5/7/14,THEFT,$500 AND UNDER,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,FALSE,FALSE,1631,2
HX337667,6/7/14,CRIMINAL DAMAGE,TO PROPERTY,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,FALSE,FALSE,1925,2
HX333474,6/7/14,ASSAULT,SIMPLE,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,FALSE,TRUE,523,2
HX333563,6/7/14,THEFT,OVER $500,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,FALSE,FALSE,232,3
HX333606,6/7/14,THEFT,$500 AND UNDER,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,FALSE,FALSE,831,3
HX343867,6/7/14,THEFT,FROM BUILDING,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,FALSE,FALSE,715,3
HX335252,6/7/14,BURGLARY,FORCIBLE ENTRY,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,FALSE,FALSE,1112,3
HX338515,6/7/14,THEFT,$500 AND UNDER,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,FALSE,FALSE,423,4
HX337166,8/7/14,THEFT,$500 AND UNDER,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,FALSE,FALSE,612,4
HX337909,9/7/14,CRIMINAL TRESPASS,TO LAND,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,TRUE,FALSE,234,5
HX339735,10/7/14,ROBBERY,ARMED: HANDGUN,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,FALSE,FALSE,323,6
HX340460,10/7/14,BURGLARY,FORCIBLE ENTRY,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,TRUE,FALSE,1925,6
HX339965,10/7/14,THEFT,$500 AND UNDER,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,FALSE,FALSE,631,7
HX339989,10/7/14,THEFT,$500 AND UNDER,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,FALSE,FALSE,314,7
HX341278,11/7/14,THEFT,$500 AND UNDER,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,TRUE,FALSE,333,7
HX346119,12/7/14,THEFT,$500 AND UNDER,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,FALSE,FALSE,1114,7
HX344477,12/7/14,CRIMINAL DAMAGE,TO PROPERTY,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,FALSE,FALSE,224,7
HX342565,12/7/14,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,FALSE,FALSE,722,8
HX342542,12/7/14,CRIMINAL TRESPASS,TO LAND,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,TRUE,FALSE,1833,10
HX344601,13/7/14,OTHER OFFENSE,HARASSMENT BY TELEPHONE,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,FALSE,FALSE,1232,11
HX343344,13/7/14,OTHER OFFENSE,TELEPHONE THREAT,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,FALSE,FALSE,433,11
HX343366,13/7/14,THEFT,$500 AND UNDER,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,FALSE,FALSE,1013,11
HX352758,13/7/14,BURGLARY,FORCIBLE ENTRY,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,FALSE,FALSE,723,12
HX345167,14/7/14,CRIMINAL DAMAGE,TO PROPERTY,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,FALSE,FALSE,2411,16
HX347573,16/7/14,THEFT,OVER $500,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,FALSE,FALSE,1111,18
HX347275,16/7/14,BATTERY,SIMPLE,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,FALSE,FALSE,333,19
HX347700,16/7/14,OTHER OFFENSE,TELEPHONE THREAT,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,FALSE,FALSE,2212,19
HX351615,16/7/14,BURGLARY,FORCIBLE ENTRY,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,FALSE,FALSE,734,22
HX350641,18/7/14,SEX OFFENSE,ATT CRIM SEXUAL ABUSE,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,FALSE,FALSE,725,24
HX332803,5/7/14,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,CLEANING STORE,TRUE,FALSE,822,8
HX356009,18/7/14,OTHER OFFENSE,HARASSMENT BY TELEPHONE,CLEANING STORE,FALSE,FALSE,2512,25
HX345617,10/7/14,CRIMINAL DAMAGE,TO PROPERTY,COIN OPERATED MACHINE,FALSE,FALSE,234,2
HX350271,17/7/14,THEFT,FROM COIN-OP MACHINE/DEVICE,COIN OPERATED MACHINE,FALSE,FALSE,1912,19
HX335087,7/7/14,THEFT,$500 AND UNDER,COLLEGE/UNIVERSITY GROUNDS,FALSE,FALSE,123,1
HX335089,7/7/14,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,COLLEGE/UNIVERSITY GROUNDS,FALSE,FALSE,123,1
HX335499,7/7/14,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,COLLEGE/UNIVERSITY GROUNDS,FALSE,FALSE,112,1
HX335493,7/7/14,THEFT,FROM BUILDING,COLLEGE/UNIVERSITY GROUNDS,FALSE,FALSE,112,1
HX335516,7/7/14,THEFT,FROM BUILDING,COLLEGE/UNIVERSITY GROUNDS,FALSE,FALSE,112,1
HX344316,13/7/14,THEFT,FROM BUILDING,COLLEGE/UNIVERSITY GROUNDS,FALSE,FALSE,235,1
HX344020,13/7/14,ROBBERY,STRONGARM - NO WEAPON,COLLEGE/UNIVERSITY GROUNDS,FALSE,FALSE,211,1
HX345631,15/7/14,CRIMINAL DAMAGE,TO PROPERTY,COLLEGE/UNIVERSITY GROUNDS,TRUE,FALSE,123,2
HX349070,17/7/14,THEFT,OVER $500,COLLEGE/UNIVERSITY GROUNDS,FALSE,FALSE,113,2
HX348727,17/7/14,CRIMINAL TRESPASS,TO STATE SUP LAND,COLLEGE/UNIVERSITY GROUNDS,TRUE,FALSE,1913,19
HX348924,17/7/14,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,COLLEGE/UNIVERSITY GROUNDS,TRUE,FALSE,1913,19
HX350374,18/7/14,BATTERY,SIMPLE,COLLEGE/UNIVERSITY GROUNDS,FALSE,FALSE,2432,24
HX340477,11/7/14,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,COLLEGE/UNIVERSITY RESIDENCE HALL,TRUE,FALSE,123,1
HX349091,17/7/14,THEFT,FROM BUILDING,COLLEGE/UNIVERSITY RESIDENCE HALL,FALSE,FALSE,112,1
HX349164,17/7/14,BATTERY,DOMESTIC BATTERY SIMPLE,COLLEGE/UNIVERSITY RESIDENCE HALL,FALSE,TRUE,211,2
HX333173,6/7/14,BURGLARY,FORCIBLE ENTRY,COMMERCIAL / BUSINESS OFFICE,FALSE,FALSE,334,1
HX334607,6/7/14,CRIMINAL DAMAGE,TO PROPERTY,COMMERCIAL / BUSINESS OFFICE,FALSE,FALSE,2523,1
HX336209,7/7/14,THEFT,$500 AND UNDER,COMMERCIAL / BUSINESS OFFICE,FALSE,FALSE,924,1
HX335481,7/7/14,ASSAULT,SIMPLE,COMMERCIAL / BUSINESS OFFICE,FALSE,FALSE,422,1
HX334884,7/7/14,ASSAULT,SIMPLE,COMMERCIAL / BUSINESS OFFICE,FALSE,FALSE,234,1
HX337761,7/7/14,THEFT,FROM BUILDING,COMMERCIAL / BUSINESS OFFICE,FALSE,FALSE,1224,1
HX336198,7/7/14,CRIMINAL DAMAGE,TO PROPERTY,COMMERCIAL / BUSINESS OFFICE,FALSE,FALSE,2525,1
HX336170,8/7/14,BURGLARY,FORCIBLE ENTRY,COMMERCIAL / BUSINESS OFFICE,FALSE,FALSE,2424,1
HX373578,8/7/14,OTHER OFFENSE,HARASSMENT BY TELEPHONE,COMMERCIAL / BUSINESS OFFICE,FALSE,FALSE,111,1
HX336237,8/7/14,OTHER OFFENSE,HARASSMENT BY TELEPHONE,COMMERCIAL / BUSINESS OFFICE,FALSE,FALSE,612,1
HX337568,8/7/14,THEFT,$500 AND UNDER,COMMERCIAL / BUSINESS OFFICE,FALSE,FALSE,423,2
HX339130,9/7/14,THEFT,OVER $500,COMMERCIAL / BUSINESS OFFICE,FALSE,FALSE,1831,2
HX337972,9/7/14,DECEPTIVE PRACTICE,EMBEZZLEMENT,COMMERCIAL / BUSINESS OFFICE,FALSE,FALSE,2533,2
HX338318,9/7/14,OTHER OFFENSE,OTHER VEHICLE OFFENSE,COMMERCIAL / BUSINESS OFFICE,TRUE,FALSE,1022,2
HX338552,9/7/14,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,COMMERCIAL / BUSINESS OFFICE,FALSE,FALSE,122,2
HX338718,9/7/14,BURGLARY,FORCIBLE ENTRY,COMMERCIAL / BUSINESS OFFICE,FALSE,FALSE,624,3
HX548335,10/7/14,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,COMMERCIAL / BUSINESS OFFICE,FALSE,FALSE,122,4
HX339159,10/7/14,CRIMINAL DAMAGE,TO PROPERTY,COMMERCIAL / BUSINESS OFFICE,FALSE,FALSE,2422,4
HX339504,10/7/14,THEFT,OVER $500,COMMERCIAL / BUSINESS OFFICE,TRUE,FALSE,1723,4
HX390089,10/7/14,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,COMMERCIAL / BUSINESS OFFICE,FALSE,FALSE,2512,6
HX340466,11/7/14,OTHER OFFENSE,TELEPHONE THREAT,COMMERCIAL / BUSINESS OFFICE,FALSE,FALSE,114,6
HX340380,11/7/14,OTHER OFFENSE,OTHER CRIME AGAINST PERSON,COMMERCIAL / BUSINESS OFFICE,FALSE,FALSE,623,6
HX340384,11/7/14,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,COMMERCIAL / BUSINESS OFFICE,FALSE,FALSE,1232,8
HX340636,11/7/14,ROBBERY,ARMED: OTHER FIREARM,COMMERCIAL / BUSINESS OFFICE,FALSE,FALSE,1812,8
HX342202,11/7/14,THEFT,FROM BUILDING,COMMERCIAL / BUSINESS OFFICE,FALSE,FALSE,122,8
HX344399,11/7/14,OTHER OFFENSE,TELEPHONE THREAT,COMMERCIAL / BUSINESS OFFICE,FALSE,FALSE,832,8
HX342121,12/7/14,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,COMMERCIAL / BUSINESS OFFICE,FALSE,FALSE,2033,9
HX346007,12/7/14,THEFT,OVER $500,COMMERCIAL / BUSINESS OFFICE,FALSE,FALSE,2534,10
HX345956,12/7/14,CRIMINAL DAMAGE,TO PROPERTY,COMMERCIAL / BUSINESS OFFICE,FALSE,FALSE,2411,12
HX344171,14/7/14,CRIMINAL DAMAGE,TO PROPERTY,COMMERCIAL / BUSINESS OFFICE,FALSE,FALSE,211,12
HX344242,14/7/14,CRIMINAL DAMAGE,TO PROPERTY,COMMERCIAL / BUSINESS OFFICE,FALSE,FALSE,1413,12
HX344379,14/7/14,CRIMINAL TRESPASS,TO LAND,COMMERCIAL / BUSINESS OFFICE,FALSE,FALSE,122,14
HX344432,14/7/14,OTHER OFFENSE,TELEPHONE THREAT,COMMERCIAL / BUSINESS OFFICE,FALSE,FALSE,1711,14
HX347228,14/7/14,BATTERY,SIMPLE,COMMERCIAL / BUSINESS OFFICE,FALSE,FALSE,113,16
HX344832,14/7/14,BATTERY,SIMPLE,COMMERCIAL / BUSINESS OFFICE,FALSE,FALSE,223,17
HX344948,14/7/14,CRIMINAL TRESPASS,TO LAND,COMMERCIAL / BUSINESS OFFICE,TRUE,FALSE,824,17
HX346370,14/7/14,OTHER OFFENSE,TELEPHONE THREAT,COMMERCIAL / BUSINESS OFFICE,FALSE,FALSE,1723,17
HX345415,14/7/14,CRIMINAL DAMAGE,TO PROPERTY,COMMERCIAL / BUSINESS OFFICE,FALSE,FALSE,1222,17
HX347326,14/7/14,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,COMMERCIAL / BUSINESS OFFICE,FALSE,FALSE,825,18
HX396724,15/7/14,DECEPTIVE PRACTICE,COUNTERFEIT CHECK,COMMERCIAL / BUSINESS OFFICE,FALSE,FALSE,1654,18
HX347880,16/7/14,THEFT,FROM BUILDING,COMMERCIAL / BUSINESS OFFICE,FALSE,FALSE,1821,18
HX347144,16/7/14,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,COMMERCIAL / BUSINESS OFFICE,TRUE,FALSE,1911,18
HX347274,16/7/14,ASSAULT,SIMPLE,COMMERCIAL / BUSINESS OFFICE,FALSE,FALSE,1925,19
HX347856,16/7/14,THEFT,RETAIL THEFT,COMMERCIAL / BUSINESS OFFICE,FALSE,FALSE,1913,19
HX347351,16/7/14,DECEPTIVE PRACTICE,ATTEMPT - FINANCIAL IDENTITY THEFT,COMMERCIAL / BUSINESS OFFICE,FALSE,FALSE,221,19
HX347323,16/7/14,ASSAULT,SIMPLE,COMMERCIAL / BUSINESS OFFICE,FALSE,FALSE,112,20
HX354605,16/7/14,ASSAULT,SIMPLE,COMMERCIAL / BUSINESS OFFICE,FALSE,FALSE,2524,20
HX347888,16/7/14,CRIMINAL TRESPASS,TO LAND,COMMERCIAL / BUSINESS OFFICE,FALSE,FALSE,214,22
HX348426,16/7/14,THEFT,FROM BUILDING,COMMERCIAL / BUSINESS OFFICE,FALSE,FALSE,1722,24
HX347729,16/7/14,PUBLIC PEACE VIOLATION,PUBLIC DEMONSTRATION,COMMERCIAL / BUSINESS OFFICE,TRUE,FALSE,121,24
HX376477,16/7/14,DECEPTIVE PRACTICE,"THEFT BY LESSEE,MOTOR VEH",COMMERCIAL / BUSINESS OFFICE,FALSE,FALSE,122,24
HX349613,17/7/14,OTHER OFFENSE,HARASSMENT BY TELEPHONE,COMMERCIAL / BUSINESS OFFICE,FALSE,TRUE,434,25
HX349194,17/7/14,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,COMMERCIAL / BUSINESS OFFICE,TRUE,FALSE,821,25
HY127246,18/7/14,DECEPTIVE PRACTICE,EMBEZZLEMENT,COMMERCIAL / BUSINESS OFFICE,FALSE,FALSE,1831,25
