"CASE #","DATE OF OCCURRENCE","PRIMARY DESCRIPTION","SECONDARY DESCRIPTION","LOCATION DESCRIPTION","ARREST","DOMESTIC","BEAT","X PLOT VALUE","Y PLOT VALUE","DISTRICT","RANGE INDEX","SCORE"
"HX345251","14/7/14","ASSAULT","SIMPLE","GAS STATION","Y","N","831","406","335","14","0","104"
"HX346274","15/7/14","THEFT","$500 AND UNDER","GAS STATION","N","N","712","506","385","15","2","449"
"HX345591","15/7/14","THEFT","RETAIL THEFT","GAS STATION","Y","N","1013","350","550","15","2","454"
"HX345921","15/7/14","ASSAULT","SIMPLE","GAS STATION","Y","N","323","570","336","15","0","104"
"HX346133","15/7/14","THEFT","$500 AND UNDER","GAS STATION","N","N","725","479","347","15","2","449"
"HX346275","15/7/14","BATTERY","SIMPLE","GAS STATION","Y","N","724","498","352","15","2","454"
"HX346214","15/7/14","THEFT","$500 AND UNDER","GAS STATION","Y","N","725","479","347","15","2","454"
"HX346522","15/7/14","CRIMINAL TRESPASS","TO LAND","GAS STATION","Y","N","313","567","359","18","2","454"
"HX346638","15/7/14","ASSAULT","SIMPLE","GAS STATION","N","N","924","466","459","18","0","99"
"HX346654","15/7/14","CRIMINAL DAMAGE","TO PROPERTY","GAS STATION","N","N","735","489","322","18","9","2969"
"HX346742","15/7/14","BATTERY","AGGRAVATED:KNIFE/CUTTING INSTR","GAS STATION","Y","N","733","530","322","18","9","2974"
"HX346846","16/7/14","THEFT","RETAIL THEFT","GAS STATION","N","N","1022","401","582","19","2","449"
"HX347371","16/7/14","ROBBERY","ATTEMPT: STRONGARM-NO WEAPON","GAS STATION","N","N","1012","341","570","19","9","2969"
"HX347564","16/7/14","THEFT","RETAIL THEFT","GAS STATION","N","N","1232","502","594","19","2","449"
"HX347794","16/7/14","CRIMINAL TRESPASS","TO LAND","GAS STATION","Y","N","623","537","269","19","2","454"
"HX348142","16/7/14","THEFT","RETAIL THEFT","GAS STATION","Y","N","723","517","351","19","2","454"
"HX349860","16/7/14","THEFT","RETAIL THEFT","GAS STATION","N","N","2433","471","943","20","2","449"
"HX348270","17/7/14","THEFT","RETAIL THEFT","GAS STATION","N","N","431","718","245","22","2","449"
"HX348685","17/7/14","DECEPTIVE PRACTICE","CREDIT CARD FRAUD","GAS STATION","Y","N","733","530","322","22","9","2974"
"HX348909","17/7/14","CRIMINAL TRESPASS","TO LAND","GAS STATION","Y","N","632","593","275","22","2","454"
"HX348941","17/7/14","NARCOTICS","POSS: CANNABIS 30GMS OR LESS","GAS STATION","Y","N","932","459","414","22","2","454"
"HX350033","18/7/14","THEFT","RETAIL THEFT","GAS STATION","N","N","1923","486","826","24","2","449"
"HX349992","18/7/14","CRIMINAL TRESPASS","TO LAND","GAS STATION","Y","N","623","537","269","25","2","454"
"HX352912","18/7/14","DECEPTIVE PRACTICE","ILLEGAL USE CASH CARD","GAS STATION","N","N","324","579","320","25","6","1709"
"HX350669","18/7/14","THEFT","OVER $500","GAS STATION","N","N","614","501","262","25","16","7169"
"HX350773","18/7/14","NARCOTICS","POSS: CANNABIS 30GMS OR LESS","GAS STATION","Y","N","511","584","197","25","2","454"
"HX334808","7/7/14","ASSAULT","SIMPLE","GOVERNMENT BUILDING/PROPERTY","Y","N","2533","310","714","1","0","104"
"HX335436","7/7/14","BATTERY","SIMPLE","GOVERNMENT BUILDING/PROPERTY","N","N","1431","417","757","1","2","449"
"HX336297","8/7/14","BATTERY","SIMPLE","GOVERNMENT BUILDING/PROPERTY","Y","N","131","549","580","1","2","454"
"HX336427","8/7/14","CRIMINAL TRESPASS","TO STATE SUP LAND","GOVERNMENT BUILDING/PROPERTY","Y","N","1022","401","582","1","2","454"
"HX336562","8/7/14","ASSAULT","AGG PO HANDS NO/MIN INJURY","GOVERNMENT BUILDING/PROPERTY","Y","N","111","551","652","1","4","874"
"HX336547","8/7/14","ASSAULT","SIMPLE","GOVERNMENT BUILDING/PROPERTY","N","N","123","544","615","1","0","99"
"HX336708","8/7/14","INTIMIDATION","INTIMIDATION","GOVERNMENT BUILDING/PROPERTY","Y","N","531","576","125","1","13","5074"
"HX337622","9/7/14","NARCOTICS","POSS: CANNABIS MORE THAN 30GMS","GOVERNMENT BUILDING/PROPERTY","Y","N","1654","21","915","1","15","6754"
"HX339198","9/7/14","BURGLARY","FORCIBLE ENTRY","GOVERNMENT BUILDING/PROPERTY","N","N","1915","498","848","1","11","4229"
"HX338762","10/7/14","CRIMINAL DAMAGE","CRIMINAL DEFACEMENT","GOVERNMENT BUILDING/PROPERTY","Y","N","1423","408","710","1","11","4234"
"HX340307","11/7/14","ASSAULT","PRO EMP HANDS NO/MIN INJURY","GOVERNMENT BUILDING/PROPERTY","Y","N","1823","523","691","4","0","104"
"HX340323","11/7/14","THEFT","$500 AND UNDER","GOVERNMENT BUILDING/PROPERTY","N","N","1234","0","0","5","2","449"
"HX340802","11/7/14","OTHER OFFENSE","TELEPHONE THREAT","GOVERNMENT BUILDING/PROPERTY","N","N","114","561","635","9","1","239"
"HX340486","11/7/14","ASSAULT","SIMPLE","GOVERNMENT BUILDING/PROPERTY","N","N","1134","393","613","9","0","99"
"HX354340","11/7/14","THEFT","OVER $500","GOVERNMENT BUILDING/PROPERTY","N","N","113","549","633","10","16","7169"
"HX344646","12/7/14","DECEPTIVE PRACTICE","FINANCIAL IDENTITY THEFT $300 AND UNDER","GOVERNMENT BUILDING/PROPERTY","N","N","113","549","633","11","2","449"
"HX343602","13/7/14","THEFT","OVER $500","GOVERNMENT BUILDING/PROPERTY","N","N","1215","0","0","12","16","7169"
"HX344660","14/7/14","OTHER OFFENSE","HARASSMENT BY TELEPHONE","GOVERNMENT BUILDING/PROPERTY","Y","N","2522","312","743","12","1","244"
"HX345485","14/7/14","BATTERY","SIMPLE","GOVERNMENT BUILDING/PROPERTY","Y","N","2031","413","881","14","2","454"
"HX345729","15/7/14","NARCOTICS","POSS: CANNABIS MORE THAN 30GMS","GOVERNMENT BUILDING/PROPERTY","Y","N","1654","21","915","14","15","6754"
"HX512199","15/7/14","DECEPTIVE PRACTICE","FORGERY","GOVERNMENT BUILDING/PROPERTY","N","N","122","533","637","16","18","13469"
"HX345764","15/7/14","ASSAULT","SIMPLE","GOVERNMENT BUILDING/PROPERTY","N","N","124","523","604","16","0","99"
"HX347128","16/7/14","NARCOTICS","FOUND SUSPECT NARCOTICS","GOVERNMENT BUILDING/PROPERTY","Y","N","1654","21","915","16","17","8014"
"HX349285","16/7/14","BATTERY","SIMPLE","GOVERNMENT BUILDING/PROPERTY","N","N","932","459","414","16","2","449"
"HX349187","16/7/14","THEFT","FROM BUILDING","GOVERNMENT BUILDING/PROPERTY","N","N","122","533","637","18","8","2549"
"HX348537","17/7/14","NARCOTICS","POSS: CANNABIS MORE THAN 30GMS","GOVERNMENT BUILDING/PROPERTY","Y","N","1654","21","915","19","15","6754"
"HX349329","17/7/14","CRIMINAL DAMAGE","TO VEHICLE","GOVERNMENT BUILDING/PROPERTY","N","N","932","459","414","20","9","2969"
"HX349190","17/7/14","ASSAULT","SIMPLE","GOVERNMENT BUILDING/PROPERTY","N","N","2213","0","0","22","0","99"
"HX349820","18/7/14","CRIMINAL DAMAGE","TO PROPERTY","GOVERNMENT BUILDING/PROPERTY","N","N","414","639","229","25","9","2969"
"HX350070","18/7/14","PUBLIC PEACE VIOLATION","PUBLIC DEMONSTRATION","GOVERNMENT BUILDING/PROPERTY","Y","N","121","523","637","25","0","104"
"HX333007","5/7/14","THEFT","RETAIL THEFT","GROCERY FOOD STORE","Y","N","2023","492","906","1","2","454"
"HX333068","6/7/14","CRIMINAL DAMAGE","TO PROPERTY","GROCERY FOOD STORE","N","N","1631","143","808","1","9","2969"
"HX337716","6/7/14","THEFT","FROM BUILDING","GROCERY FOOD STORE","N","N","222","588","459","1","8","2549"
"HX333546","6/7/14","THEFT","$500 AND UNDER","GROCERY FOOD STORE","Y","N","1821","529","707","1","2","454"
"HX333549","6/7/14","ASSAULT","SIMPLE","GROCERY FOOD STORE","Y","N","223","617","445","1","0","104"
"HX333669","6/7/14","CRIMINAL TRESPASS","TO LAND","GROCERY FOOD STORE","Y","N","1023","422","580","1","2","454"
"HX333754","6/7/14","CRIMINAL TRESPASS","TO LAND","GROCERY FOOD STORE","Y","N","1531","302","682","1","2","454"
"HX333836","6/7/14","ROBBERY","ARMED:KNIFE/CUTTING INSTRUMENT","GROCERY FOOD STORE","Y","N","834","353","269","1","23","65554"
"HX333919","6/7/14","THEFT","$500 AND UNDER","GROCERY FOOD STORE","N","N","1921","427","814","1","2","449"
"HX333934","6/7/14","THEFT","RETAIL THEFT","GROCERY FOOD STORE","Y","N","124","523","604","2","2","454"
"HX334026","6/7/14","THEFT","RETAIL THEFT","GROCERY FOOD STORE","Y","N","2023","492","906","2","2","454"
"HX334091","6/7/14","THEFT","RETAIL THEFT","GROCERY FOOD STORE","Y","N","1221","0","0","2","2","454"
"HX335175","7/7/14","DECEPTIVE PRACTICE","CREDIT CARD FRAUD","GROCERY FOOD STORE","N","N","1824","549","703","2","9","2969"
"HX335356","7/7/14","ASSAULT","SIMPLE","GROCERY FOOD STORE","Y","N","1223","478","566","2","0","104"
"HX335368","7/7/14","THEFT","RETAIL THEFT","GROCERY FOOD STORE","N","N","1931","451","780","2","2","449"
"HX335639","7/7/14","THEFT","PURSE-SNATCHING","GROCERY FOOD STORE","N","N","821","380","453","2","9","2969"
"HX335596","7/7/14","THEFT","RETAIL THEFT","GROCERY FOOD STORE","N","N","124","523","604","2","2","449"
"HX338012","8/7/14","THEFT","$500 AND UNDER","GROCERY FOOD STORE","N","N","1925","513","823","3","2","449"
"HX336261","8/7/14","NARCOTICS","POSS: CANNABIS 30GMS OR LESS","GROCERY FOOD STORE","Y","N","1533","303","617","3","2","454"
"HX336316","8/7/14","ASSAULT","SIMPLE","GROCERY FOOD STORE","Y","N","1831","531","663","4","0","104"
"HX336830","8/7/14","THEFT","RETAIL THEFT","GROCERY FOOD STORE","Y","N","822","379","401","4","2","454"
"HX336864","8/7/14","ASSAULT","AGGRAVATED: OTHER DANG WEAPON","GROCERY FOOD STORE","N","N","1533","303","617","4","4","869"
"HX336907","8/7/14","ASSAULT","SIMPLE","GROCERY FOOD STORE","Y","N","332","648","367","4","0","104"
"HX337219","8/7/14","ASSAULT","SIMPLE","GROCERY FOOD STORE","N","N","434","654","99","4","0","99"
"HX337116","8/7/14","THEFT","RETAIL THEFT","GROCERY FOOD STORE","Y","N","612","467","294","6","2","454"
"HX337827","8/7/14","DECEPTIVE PRACTICE","STOLEN PROP: BUY/RECEIVE/POS.","GROCERY FOOD STORE","N","N","1821","529","707","6","14","6329"
"HX338186","8/7/14","CRIMINAL DAMAGE","CRIMINAL DEFACEMENT","GROCERY FOOD STORE","N","N","2533","310","714","6","11","4229"
"HX337633","9/7/14","CRIMINAL TRESPASS","TO LAND","GROCERY FOOD STORE","Y","N","222","588","459","6","2","454"
"HX337956","9/7/14","NARCOTICS","POSS: CANNABIS 30GMS OR LESS","GROCERY FOOD STORE","Y","N","611","681","324","6","2","454"
"HX338096","9/7/14","THEFT","RETAIL THEFT","GROCERY FOOD STORE","Y","N","2533","310","714","6","2","454"
"HX338178","9/7/14","THEFT","RETAIL THEFT","GROCERY FOOD STORE","Y","N","225","560","437","7","2","454"
"HX338155","9/7/14","THEFT","RETAIL THEFT","GROCERY FOOD STORE","Y","N","1134","393","613","8","2","454"
"HX338225","9/7/14","CRIMINAL DAMAGE","TO PROPERTY","GROCERY FOOD STORE","N","N","825","433","372","8","9","2969"
"HX338232","9/7/14","THEFT","RETAIL THEFT","GROCERY FOOD STORE","Y","N","912","458","500","8","2","454"
"HX342197","9/7/14","THEFT","RETAIL THEFT","GROCERY FOOD STORE","N","N","1822","502","701","8","2","449"
"HX338399","9/7/14","THEFT","RETAIL THEFT","GROCERY FOOD STORE","N","N","825","433","372","8","2","449"
"HX338567","9/7/14","BATTERY","SIMPLE","GROCERY FOOD STORE","N","N","411","560","226","8","2","449"
"HX339298","10/7/14","THEFT","RETAIL THEFT","GROCERY FOOD STORE","Y","N","1822","502","701","8","2","454"
"HX339526","10/7/14","THEFT","RETAIL THEFT","GROCERY FOOD STORE","Y","N","821","380","453","8","2","454"
"HX412501","10/7/14","BATTERY","SIMPLE","GROCERY FOOD STORE","N","N","131","549","580","8","2","449"
"HX339625","10/7/14","CRIMINAL TRESPASS","TO LAND","GROCERY FOOD STORE","Y","N","1914","507","865","9","2","454"
"HX339777","10/7/14","THEFT","PURSE-SNATCHING","GROCERY FOOD STORE","N","N","815","333","442","9","9","2969"
"HX339837","10/7/14","THEFT","RETAIL THEFT","GROCERY FOOD STORE","Y","N","411","560","226","9","2","454"
"HX339809","10/7/14","THEFT","RETAIL THEFT","GROCERY FOOD STORE","N","N","124","523","604","10","2","449"
"HX340031","10/7/14","THEFT","RETAIL THEFT","GROCERY FOOD STORE","Y","N","124","523","604","10","2","454"
"HX342473","11/7/14","THEFT","RETAIL THEFT","GROCERY FOOD STORE","N","N","1931","451","780","10","2","449"
"HX340739","11/7/14","THEFT","$500 AND UNDER","GROCERY FOOD STORE","N","N","1233","511","566","10","2","449"
"HX340941","11/7/14","ASSAULT","SIMPLE","GROCERY FOOD STORE","N","N","2524","346","762","10","0","99"
"HX341232","11/7/14","THEFT","RETAIL THEFT","GROCERY FOOD STORE","Y","N","2023","492","906","11","2","454"
"HX342040","11/7/14","BURGLARY","UNLAWFUL ENTRY","GROCERY FOOD STORE","N","N","2532","280","711","11","11","4229"
"HX341994","12/7/14","THEFT","RETAIL THEFT","GROCERY FOOD STORE","N","N","821","380","453","12","2","449"
"HX343583","12/7/14","THEFT","$500 AND UNDER","GROCERY FOOD STORE","N","N","1911","428","855","12","2","449"
"HX342400","12/7/14","THEFT","RETAIL THEFT","GROCERY FOOD STORE","Y","N","2533","310","714","12","2","454"
"HX342493","12/7/14","THEFT","RETAIL THEFT","GROCERY FOOD STORE","Y","N","411","560","226","12","2","454"
"HX342731","12/7/14","BURGLARY","UNLAWFUL ENTRY","GROCERY FOOD STORE","N","N","1031","347","511","12","11","4229"
"HX343590","13/7/14","BATTERY","SIMPLE","GROCERY FOOD STORE","Y","N","1233","511","566","15","2","454"
"HX343731","13/7/14","THEFT","RETAIL THEFT","GROCERY FOOD STORE","Y","N","2422","462","1011","15","2","454"
"HX343816","13/7/14","BATTERY","SIMPLE","GROCERY FOOD STORE","N","N","934","494","413","15","2","449"
"HX347089","14/7/14","THEFT","RETAIL THEFT","GROCERY FOOD STORE","Y","N","732","549","324","15","2","454"
"HX344713","14/7/14","THEFT","RETAIL THEFT","GROCERY FOOD STORE","Y","N","1931","451","780","15","2","454"
"HX344697","14/7/14","THEFT","RETAIL THEFT","GROCERY FOOD STORE","Y","N","234","583","409","15","2","454"
"HX344679","14/7/14","THEFT","RETAIL THEFT","GROCERY FOOD STORE","Y","N","1832","541","682","16","2","454"
"HX344822","14/7/14","THEFT","RETAIL THEFT","GROCERY FOOD STORE","Y","N","1522","285","619","16","2","454"
"HX347422","14/7/14","THEFT","OVER $500","GROCERY FOOD STORE","N","N","131","549","580","16","16","7169"
"HX345083","14/7/14","THEFT","RETAIL THEFT","GROCERY FOOD STORE","Y","N","1712","340","890","17","2","454"
"HX345171","14/7/14","THEFT","RETAIL THEFT","GROCERY FOOD STORE","N","N","2411","406","992","17","2","449"
"HX347982","14/7/14","THEFT","RETAIL THEFT","GROCERY FOOD STORE","N","N","1931","451","780","18","2","449"
"HX345367","14/7/14","THEFT","RETAIL THEFT","GROCERY FOOD STORE","Y","N","623","537","269","18","2","454"
"HX345424","14/7/14","THEFT","RETAIL THEFT","GROCERY FOOD STORE","N","N","122","533","637","18","2","449"
"HX346027","15/7/14","BURGLARY","UNLAWFUL ENTRY","GROCERY FOOD STORE","N","N","1523","282","652","18","11","4229"
"HX345854","15/7/14","THEFT","RETAIL THEFT","GROCERY FOOD STORE","Y","N","131","549","580","18","2","454"
"HX346127","15/7/14","THEFT","RETAIL THEFT","GROCERY FOOD STORE","N","N","233","560","389","18","2","449"
"HX346691","15/7/14","THEFT","RETAIL THEFT","GROCERY FOOD STORE","Y","N","622","523","294","18","2","454"
"HX346698","15/7/14","THEFT","RETAIL THEFT","GROCERY FOOD STORE","Y","N","1233","511","566","18","2","454"
"HX346764","15/7/14","THEFT","RETAIL THEFT","GROCERY FOOD STORE","Y","N","622","523","294","18","2","454"
"HX346755","15/7/14","THEFT","RETAIL THEFT","GROCERY FOOD STORE","Y","N","223","617","445","19","2","454"
"HX346809","15/7/14","ASSAULT","SIMPLE","GROCERY FOOD STORE","Y","N","1821","529","707","19","0","104"
"HX347076","16/7/14","BATTERY","SIMPLE","GROCERY FOOD STORE","N","N","312","562","375","19","2","449"
"HX347153","16/7/14","THEFT","RETAIL THEFT","GROCERY FOOD STORE","Y","N","2422","462","1011","19","2","454"
"HX347388","16/7/14","THEFT","RETAIL THEFT","GROCERY FOOD STORE","N","N","814","310","429","19","2","449"
"HX347614","16/7/14","THEFT","$500 AND UNDER","GROCERY FOOD STORE","N","N","1034","434","544","19","2","449"
"HX347764","16/7/14","THEFT","OVER $500","GROCERY FOOD STORE","N","N","1831","531","663","19","16","7169"
"HX347839","16/7/14","THEFT","RETAIL THEFT","GROCERY FOOD STORE","Y","N","912","458","500","19","2","454"
"HX348166","16/7/14","THEFT","RETAIL THEFT","GROCERY FOOD STORE","N","N","623","537","269","19","2","449"
"HX348131","16/7/14","OTHER OFFENSE","LICENSE VIOLATION","GROCERY FOOD STORE","N","N","1533","303","617","20","2","449"
"HX348753","17/7/14","THEFT","RETAIL THEFT","GROCERY FOOD STORE","Y","N","2422","462","1011","20","2","454"
"HX349272","17/7/14","THEFT","$500 AND UNDER","GROCERY FOOD STORE","N","N","2512","217","750","20","2","449"
"HX349485","17/7/14","THEFT","RETAIL THEFT","GROCERY FOOD STORE","Y","N","1632","211","819","20","2","454"
"HX349858","18/7/14","THEFT","RETAIL THEFT","GROCERY FOOD STORE","N","N","1034","434","544","24","2","449"
"HX350040","18/7/14","THEFT","RETAIL THEFT","GROCERY FOOD STORE","Y","N","1631","143","808","24","2","454"
"HX350321","18/7/14","CRIMINAL DAMAGE","TO PROPERTY","GROCERY FOOD STORE","N","N","131","549","580","24","9","2969"
"HX350284","18/7/14","THEFT","RETAIL THEFT","GROCERY FOOD STORE","Y","N","1034","434","544","24","2","454"
"HX350261","18/7/14","THEFT","RETAIL THEFT","GROCERY FOOD STORE","N","N","1934","519","787","24","2","449"
"HX350420","18/7/14","THEFT","OVER $500","GROCERY FOOD STORE","N","N","1134","393","613","25","16","7169"
"HX350314","18/7/14","BATTERY","SIMPLE","GROCERY FOOD STORE","N","N","221","560","455","25","2","449"
"HX350379","18/7/14","THEFT","RETAIL THEFT","GROCERY FOOD STORE","Y","N","2422","462","1011","25","2","454"
"HX350502","18/7/14","THEFT","RETAIL THEFT","GROCERY FOOD STORE","Y","N","1722","327","851","25","2","454"
"HX359725","18/7/14","OTHER OFFENSE","OTHER CRIME AGAINST PERSON","GROCERY FOOD STORE","N","N","433","726","73","25","0","99"
"HX350788","18/7/14","THEFT","RETAIL THEFT","GROCERY FOOD STORE","N","N","2023","492","906","25","2","449"
"HX337246","8/7/14","OTHER OFFENSE","OTHER CRIME INVOLVING PROPERTY","HIGHWAY/EXPRESSWAY","Y","N","2022","489","920","2","9","2974"
"HX346833","15/7/14","NARCOTICS","POSS: HEROIN(WHITE)","HIGHWAY/EXPRESSWAY","Y","N","1135","410","613","6","20","22714"
"HX347798","16/7/14","NARCOTICS","POSS: CANNABIS 30GMS OR LESS","HIGHWAY/EXPRESSWAY","Y","N","623","537","269","11","2","454"
"HX348905","17/7/14","PUBLIC PEACE VIOLATION","RECKLESS CONDUCT","HIGHWAY/EXPRESSWAY","Y","N","215","588","477","20","2","454"
"HX333568","6/7/14","INTERFERENCE WITH PUBLIC OFFICER","ESCAPE","HOSPITAL BUILDING/GROUNDS","Y","N","133","564","536","1","6","1714"
"HX333784","6/7/14","BATTERY","PRO EMP HANDS NO/MIN INJURY","HOSPITAL BUILDING/GROUNDS","Y","N","1934","519","787","2","4","874"
"HX333782","6/7/14","ASSAULT","SIMPLE","HOSPITAL BUILDING/GROUNDS","Y","N","1633","258","812","2","0","104"
"HX334560","6/7/14","CRIMINAL DAMAGE","TO VEHICLE","HOSPITAL BUILDING/GROUNDS","Y","N","1522","285","619","4","9","2974"
"HX335210","7/7/14","DECEPTIVE PRACTICE","CREDIT CARD FRAUD","HOSPITAL BUILDING/GROUNDS","N","N","1834","561","670","5","9","2969"
"HX335735","7/7/14","OTHER OFFENSE","TELEPHONE THREAT","HOSPITAL BUILDING/GROUNDS","N","N","1834","561","670","7","1","239"
"HX336186","7/7/14","CRIM SEXUAL ASSAULT","ATTEMPT NON-AGGRAVATED","HOSPITAL BUILDING/GROUNDS","N","N","1834","561","670","7","9","2969"
"HX336226","7/7/14","OTHER OFFENSE","TELEPHONE THREAT","HOSPITAL BUILDING/GROUNDS","N","N","722","542","352","7","1","239"
"HX335945","8/7/14","ASSAULT","PRO EMP HANDS NO/MIN INJURY","HOSPITAL BUILDING/GROUNDS","N","N","522","552","108","10","0","99"
"HX336512","8/7/14","THEFT","POCKET-PICKING","HOSPITAL BUILDING/GROUNDS","N","N","1231","483","592","10","9","2969"
"HX336596","8/7/14","DECEPTIVE PRACTICE","FINANCIAL IDENTITY THEFT OVER $ 300","HOSPITAL BUILDING/GROUNDS","N","N","1231","483","592","10","6","1709"
"HX337436","9/7/14","BATTERY","DOMESTIC BATTERY SIMPLE","HOSPITAL BUILDING/GROUNDS","N","Y","414","639","229","10","2","444"
"HX340686","9/7/14","THEFT","$500 AND UNDER","HOSPITAL BUILDING/GROUNDS","N","N","2031","413","881","10","2","449"
"HX339050","10/7/14","OTHER OFFENSE","TELEPHONE THREAT","HOSPITAL BUILDING/GROUNDS","N","N","1023","422","580","12","1","239"
"HX339410","10/7/14","THEFT","OVER $500","HOSPITAL BUILDING/GROUNDS","N","N","1211","459","631","12","16","7169"
"HX340299","10/7/14","THEFT","$500 AND UNDER","HOSPITAL BUILDING/GROUNDS","N","N","1933","492","788","12","2","449"
"HX348496","10/7/14","ASSAULT","SIMPLE","HOSPITAL BUILDING/GROUNDS","N","N","235","630","417","12","0","99"
"HX340083","10/7/14","ASSAULT","SIMPLE","HOSPITAL BUILDING/GROUNDS","Y","N","1231","483","592","12","0","104"
"HX340267","11/7/14","THEFT","OVER $500","HOSPITAL BUILDING/GROUNDS","N","N","2031","413","881","12","16","7169"
"HX341670","12/7/14","MOTOR VEHICLE THEFT","AUTOMOBILE","HOSPITAL BUILDING/GROUNDS","N","N","235","630","417","12","11","4229"
"HX341803","12/7/14","BATTERY","SIMPLE","HOSPITAL BUILDING/GROUNDS","N","N","2031","413","881","12","2","449"
"HX341979","12/7/14","ASSAULT","PRO EMP HANDS NO/MIN INJURY","HOSPITAL BUILDING/GROUNDS","N","N","1023","422","580","12","0","99"
"HX343475","13/7/14","BATTERY","DOMESTIC BATTERY SIMPLE","HOSPITAL BUILDING/GROUNDS","N","Y","2031","413","881","12","2","444"
"HX344343","13/7/14","THEFT","$500 AND UNDER","HOSPITAL BUILDING/GROUNDS","N","N","1833","558","685","15","2","449"
"HX344318","14/7/14","BATTERY","SIMPLE","HOSPITAL BUILDING/GROUNDS","N","N","2031","413","881","16","2","449"
"HX345848","14/7/14","THEFT","OVER $500","HOSPITAL BUILDING/GROUNDS","N","N","1231","483","592","16","16","7169"
"HX345645","15/7/14","BATTERY","PRO EMP HANDS NO/MIN INJURY","HOSPITAL BUILDING/GROUNDS","Y","N","1023","422","580","16","4","874"
"HX345669","15/7/14","BATTERY","PRO EMP HANDS NO/MIN INJURY","HOSPITAL BUILDING/GROUNDS","Y","N","1023","422","580","18","4","874"
"HX345802","15/7/14","THEFT","$500 AND UNDER","HOSPITAL BUILDING/GROUNDS","N","N","722","542","352","18","2","449"
"HX345960","15/7/14","ROBBERY","STRONGARM - NO WEAPON","HOSPITAL BUILDING/GROUNDS","N","N","1231","483","592","18","9","2969"
"HX346415","15/7/14","OTHER OFFENSE","HARASSMENT BY TELEPHONE","HOSPITAL BUILDING/GROUNDS","N","N","1225","0","0","18","1","239"
"HX362608","16/7/14","THEFT","FROM BUILDING","HOSPITAL BUILDING/GROUNDS","N","N","1211","459","631","19","8","2549"
"HX347871","16/7/14","OTHER OFFENSE","TELEPHONE THREAT","HOSPITAL BUILDING/GROUNDS","N","Y","1214","0","0","19","1","234"
"HX358620","16/7/14","THEFT","$500 AND UNDER","HOSPITAL BUILDING/GROUNDS","N","N","722","542","352","20","2","449"
"HX348040","16/7/14","BATTERY","SIMPLE","HOSPITAL BUILDING/GROUNDS","N","N","1612","184","929","20","2","449"
"HX368070","17/7/14","THEFT","OVER $500","HOSPITAL BUILDING/GROUNDS","N","N","1023","422","580","20","16","7169"
"HX349211","17/7/14","THEFT","FROM BUILDING","HOSPITAL BUILDING/GROUNDS","N","N","1231","483","592","20","8","2549"
"HX354178","17/7/14","BATTERY","PRO EMP HANDS NO/MIN INJURY","HOSPITAL BUILDING/GROUNDS","N","N","1632","211","819","20","4","869"
"HX333114","6/7/14","BATTERY","DOMESTIC BATTERY SIMPLE","HOTEL/MOTEL","N","Y","122","533","637","1","2","444"
"HX336110","6/7/14","THEFT","$500 AND UNDER","HOTEL/MOTEL","N","N","1833","558","685","1","2","449"
"HX337010","6/7/14","BATTERY","AGG: HANDS/FIST/FEET NO/MINOR INJURY","HOTEL/MOTEL","Y","N","815","333","442","1","4","874"
"HX334728","7/7/14","THEFT","$500 AND UNDER","HOTEL/MOTEL","N","N","312","562","375","1","2","449"
"HX335106","7/7/14","THEFT","FROM BUILDING","HOTEL/MOTEL","N","N","1824","549","703","1","8","2549"
"HX336518","7/7/14","THEFT","$500 AND UNDER","HOTEL/MOTEL","N","N","1834","561","670","1","2","449"
"HX335837","7/7/14","THEFT","FROM BUILDING","HOTEL/MOTEL","N","N","1831","531","663","1","8","2549"
"HX335504","7/7/14","THEFT","POCKET-PICKING","HOTEL/MOTEL","Y","N","123","544","615","1","9","2974"
"HX335670","7/7/14","THEFT","FROM BUILDING","HOTEL/MOTEL","N","N","1834","561","670","1","8","2549"
"HX338904","9/7/14","ROBBERY","STRONGARM - NO WEAPON","HOTEL/MOTEL","N","N","1833","558","685","1","9","2969"
"HX338808","10/7/14","THEFT","OVER $500","HOTEL/MOTEL","N","N","111","551","652","1","16","7169"
"HX338830","10/7/14","BATTERY","DOMESTIC BATTERY SIMPLE","HOTEL/MOTEL","N","Y","633","585","253","1","2","444"
"HX341474","10/7/14","THEFT","RETAIL THEFT","HOTEL/MOTEL","Y","N","132","570","562","1","2","454"
"HX340026","10/7/14","THEFT","POCKET-PICKING","HOTEL/MOTEL","N","N","1834","561","670","1","9","2969"
"HX339658","10/7/14","THEFT","OVER $500","HOTEL/MOTEL","Y","N","114","561","635","1","16","7174"
"HX340510","10/7/14","THEFT","POCKET-PICKING","HOTEL/MOTEL","N","N","112","549","638","1","9","2969"
"HX340092","10/7/14","BATTERY","SIMPLE","HOTEL/MOTEL","Y","N","1711","350","929","1","2","454"
"HX360106","11/7/14","THEFT","FROM BUILDING","HOTEL/MOTEL","N","N","1834","561","670","1","8","2549"
"HX348599","11/7/14","DECEPTIVE PRACTICE","COUNTERFEIT CHECK","HOTEL/MOTEL","N","N","1651","0","0","3","3","589"
"HX341457","11/7/14","CRIMINAL DAMAGE","TO VEHICLE","HOTEL/MOTEL","N","N","1834","561","670","3","9","2969"
"HX341733","11/7/14","BATTERY","DOMESTIC BATTERY SIMPLE","HOTEL/MOTEL","N","Y","1831","531","663","4","2","444"
