CASE #,DATE  OF OCCURRENCE, PRIMARY DESCRIPTION, SECONDARY DESCRIPTION, LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT
HX334140,7/6/2014,ASSAULT,SIMPLE,SIDEWALK,N,N,1722
HX334131,7/6/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,Y,N,1421
HX334945,7/6/2014,THEFT,$500 AND UNDER,STREET,N,N,431
HX335416,7/6/2014,THEFT,$500 AND UNDER,STREET,N,N,824
HX336766,7/6/2014,THEFT,$500 AND UNDER,PARK PROPERTY,N,N,233
HX334174,7/6/2014,LIQUOR LAW VIOLATION,ILLEGAL POSSESSION BY MINOR,PARKING LOT/GARAGE(NON.RESID.),Y,N,1925
HX334160,7/6/2014,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,Y,N,934
HX334146,7/6/2014,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,STREET,Y,N,2521
HX334188,7/6/2014,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,STREET,Y,N,934
HX334153,7/6/2014,BATTERY,AGGRAVATED PO: OTHER DANG WEAP,STREET,N,N,832
HX334143,7/6/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,Y,1223
HX334169,7/6/2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),STREET,Y,N,1121
HX334175,7/6/2014,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,N,Y,631
HX334182,7/6/2014,ROBBERY,ARMED: OTHER DANGEROUS WEAPON,SIDEWALK,N,N,1022
HX334272,7/6/2014,BATTERY,DOMESTIC BATTERY SIMPLE,VEHICLE NON-COMMERCIAL,N,N,714
HX335543,7/6/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,834
HX334190,7/6/2014,BATTERY,SIMPLE,RESIDENTIAL YARD (FRONT/BACK),N,N,2413
HX334179,7/6/2014,BATTERY,AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST,SIDEWALK,N,Y,715
HX334151,7/6/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,623
HX334172,7/6/2014,BATTERY,SIMPLE,APARTMENT,N,N,1021
HX334157,7/6/2014,ROBBERY,ARMED:KNIFE/CUTTING INSTRUMENT,ALLEY,N,N,1914
HX334271,7/6/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT/GARAGE(NON.RESID.),N,N,1533
HX334206,7/6/2014,ASSAULT,AGGRAVATED: HANDGUN,APARTMENT,N,Y,421
HX334277,7/6/2014,BATTERY,SIMPLE,ALLEY,N,N,1713
HX334201,7/6/2014,BURGLARY,FORCIBLE ENTRY,APARTMENT,N,N,722
HX334177,7/6/2014,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,STREET,Y,N,412
HX335016,7/6/2014,THEFT,$500 AND UNDER,DRIVEWAY - RESIDENTIAL,N,N,433
HX337010,7/6/2014,BATTERY,AGG: HANDS/FIST/FEET NO/MINOR INJURY,HOTEL/MOTEL,Y,N,815
HX334186,7/6/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,912
HX334152,7/6/2014,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,N,N,726
HX334168,7/6/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,2024
HX334220,7/6/2014,NARCOTICS,POSS: PCP,SIDEWALK,Y,N,1123
HX334200,7/6/2014,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,N,421
HX334245,7/6/2014,NARCOTICS,MANU/DELIVER:CRACK,SIDEWALK,Y,N,1122
HX334372,7/6/2014,BATTERY,AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST,APARTMENT,N,Y,412
HX334165,7/6/2014,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,N,Y,923
HX334224,7/6/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,1235
HX334170,7/6/2014,BATTERY,AGGRAVATED: OTHER FIREARM,STREET,N,N,613
HX338501,7/6/2014,OTHER OFFENSE,OTHER VEHICLE OFFENSE,OTHER,N,N,133
HX334112,7/6/2014,HOMICIDE,FIRST DEGREE MURDER,PORCH,N,N,522
HX334250,7/6/2014,ASSAULT,AGGRAVATED: HANDGUN,APARTMENT,N,Y,322
HX334228,7/6/2014,NARCOTICS,MANU/DELIVER: HALLUCINOGEN,STREET,Y,N,511
HX335074,7/6/2014,THEFT,$500 AND UNDER,RESTAURANT,N,N,1831
HX334287,7/6/2014,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,Y,Y,421
HX334199,7/6/2014,THEFT,OVER $500,TAXICAB,N,N,1723
HX334793,7/6/2014,THEFT,$500 AND UNDER,RESIDENCE,Y,N,1523
HX336278,7/6/2014,THEFT,OVER $500,STREET,N,N,433
HX336541,7/6/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,1434
HX336754,7/6/2014,THEFT,$500 AND UNDER,RESIDENTIAL YARD (FRONT/BACK),N,N,1432
HX335374,7/6/2014,THEFT,$500 AND UNDER,BAR OR TAVERN,N,N,1824
HX334621,7/6/2014,CRIMINAL DAMAGE,TO PROPERTY,RESTAURANT,N,N,1023
HX335553,7/6/2014,THEFT,$500 AND UNDER,STREET,N,N,1711
HX335511,7/6/2014,CRIMINAL DAMAGE,TO PROPERTY,STREET,N,N,1022
HX334654,7/6/2014,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,N,N,1434
HX334617,7/6/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,933
HX334214,7/6/2014,BATTERY,SIMPLE,RESIDENCE,Y,N,1524
HX334202,7/6/2014,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,N,N,1233
HX334218,7/6/2014,BATTERY,SIMPLE,SIDEWALK,N,N,2431
HX334560,7/6/2014,CRIMINAL DAMAGE,TO VEHICLE,HOSPITAL BUILDING/GROUNDS,Y,N,1522
HX334196,7/6/2014,CRIMINAL DAMAGE,TO CITY OF CHICAGO PROPERTY,STREET,N,N,1533
HX334213,7/6/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,214
HX334569,7/6/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,1931
HX334247,7/6/2014,GAMBLING,GAME/DICE,SIDEWALK,Y,N,724
HX334599,7/6/2014,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,STREET,N,N,1712
HX334183,7/6/2014,THEFT,RETAIL THEFT,CONVENIENCE STORE,N,N,2432
HX334861,7/6/2014,ROBBERY,AGGRAVATED,STREET,N,N,2534
HX334468,7/6/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,434
HX334263,7/6/2014,ASSAULT,AGGRAVATED: HANDGUN,STREET,N,N,2233
HX334222,7/6/2014,BATTERY,SIMPLE,STREET,Y,N,1431
HX334195,7/6/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,Y,N,1533
HX334217,7/6/2014,ASSAULT,AGGRAVATED PO: HANDGUN,ALLEY,Y,N,2232
HX334276,7/6/2014,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,STREET,N,N,1732
HX334185,7/6/2014,BATTERY,AGG PO HANDS NO/MIN INJURY,STREET,Y,N,324
HX334226,7/6/2014,CRIMINAL DAMAGE,TO PROPERTY,SMALL RETAIL STORE,N,N,1921
HX334223,7/6/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,1524
HX334285,7/6/2014,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,N,Y,234
HX334237,7/6/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,1624
HX334340,7/6/2014,ROBBERY,ARMED: HANDGUN,SIDEWALK,N,N,2222
HX335632,7/6/2014,ASSAULT,SIMPLE,SIDEWALK,N,N,1813
HX334249,7/6/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,ALLEY,Y,N,822
HX334273,7/6/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,331
HX334268,7/6/2014,BATTERY,AGGRAVATED: OTHER DANG WEAPON,SIDEWALK,N,N,1032
HX334776,7/6/2014,THEFT,$500 AND UNDER,STREET,N,N,713
HX335005,7/6/2014,THEFT,OVER $500,STREET,N,N,131
HX345119,7/6/2014,BATTERY,SIMPLE,SIDEWALK,N,N,213
HX336124,7/6/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,2532
HX335503,7/6/2014,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,N,N,1922
HX334821,7/6/2014,BURGLARY,FORCIBLE ENTRY,SMALL RETAIL STORE,N,N,2431
HX334554,7/6/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,512
HX467245,7/6/2014,THEFT,$500 AND UNDER,RESIDENCE,N,N,523
HX334307,7/6/2014,BATTERY,SIMPLE,STREET,N,N,834
HX334244,7/6/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,Y,N,411
HX334248,7/6/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,Y,N,221
HX334267,7/6/2014,ARSON,BY FIRE,STREET,Y,N,2533
HX334255,7/6/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,1421
HX334270,7/6/2014,CRIMINAL DAMAGE,TO PROPERTY,STREET,Y,N,1234
HX334261,7/6/2014,BATTERY,AGGRAVATED: HANDGUN,RESIDENCE PORCH/HALLWAY,N,N,2222
HX334301,7/6/2014,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,STREET,Y,N,1924
HX334258,7/6/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,Y,N,2515
HX334316,7/6/2014,ARSON,BY FIRE,STREET,N,N,1224
HX334278,7/6/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,Y,N,1634
HX336470,7/6/2014,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,N,N,1012
HX334490,7/6/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,611
HX334487,7/6/2014,THEFT,$500 AND UNDER,STREET,N,N,2221
HX335716,7/6/2014,THEFT,OVER $500,RESIDENTIAL YARD (FRONT/BACK),N,N,1821
HX334343,7/6/2014,ASSAULT,AGGRAVATED: HANDGUN,RESIDENCE,N,N,423
HX334315,7/6/2014,OTHER OFFENSE,OTHER WEAPONS VIOLATION,RESIDENCE,Y,N,2432
HX334566,7/6/2014,BURGLARY,UNLAWFUL ENTRY,APARTMENT,N,N,1132
HX334563,7/6/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,925
HX335373,7/6/2014,THEFT,OVER $500,STREET,N,N,433
HX334864,7/6/2014,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,N,N,1422
HX334948,7/6/2014,THEFT,POCKET-PICKING,BAR OR TAVERN,N,N,1223
HX334847,7/6/2014,THEFT,$500 AND UNDER,RESIDENTIAL YARD (FRONT/BACK),N,N,632
HX334311,7/6/2014,THEFT,$500 AND UNDER,RESIDENCE,N,N,614
HX334298,7/6/2014,BATTERY,SIMPLE,PARKING LOT/GARAGE(NON.RESID.),Y,N,2234
HX334292,7/6/2014,BATTERY,DOMESTIC BATTERY SIMPLE,GAS STATION,Y,Y,431
HX410206,7/6/2014,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,N,Y,1021
HX334256,7/6/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,Y,N,2514
HX334269,7/6/2014,ASSAULT,SIMPLE,STREET,Y,N,2222
HX334280,7/6/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,Y,Y,1034
HX334286,7/6/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,Y,N,1011
HX334309,7/6/2014,BATTERY,SIMPLE,VEHICLE NON-COMMERCIAL,N,N,2532
HX334312,7/6/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,523
HX334299,7/6/2014,BATTERY,DOMESTIC BATTERY SIMPLE,VEHICLE NON-COMMERCIAL,Y,Y,831
HX334501,7/6/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,232
HX334295,7/6/2014,BURGLARY,HOME INVASION,APARTMENT,N,N,1433
HX334284,7/6/2014,BATTERY,AGGRAVATED: HANDGUN,STREET,N,N,522
HX334319,7/6/2014,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING IDENTIFICATION,STREET,Y,N,1624
HX334300,7/6/2014,CRIMINAL TRESPASS,TO LAND,RESIDENCE,Y,N,2412
HX334303,7/6/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,Y,N,735
HX334347,7/6/2014,THEFT,OVER $500,STREET,N,N,621
HX340020,7/6/2014,OTHER OFFENSE,OTHER VEHICLE OFFENSE,RESIDENCE,N,N,735
HX336109,7/6/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,1013
HX335010,7/6/2014,THEFT,$500 AND UNDER,PARK PROPERTY,N,N,1914
HX334291,7/6/2014,THEFT,$500 AND UNDER,SIDEWALK,N,N,1524
HX334306,7/6/2014,ROBBERY,STRONGARM - NO WEAPON,STREET,N,N,1224
HX334365,7/6/2014,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,RESIDENCE PORCH/HALLWAY,N,N,422
HX334324,7/6/2014,NARCOTICS,POSS: COCAINE,SIDEWALK,Y,N,1031
HX334322,7/6/2014,OTHER OFFENSE,OTHER CRIME AGAINST PERSON,SIDEWALK,N,N,1434
HX335274,7/6/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,1022
HX351981,7/6/2014,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,N,Y,214
HX334321,7/6/2014,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,N,Y,1012
HX334320,7/6/2014,BATTERY,DOMESTIC BATTERY SIMPLE,ALLEY,N,Y,1533
HX334331,7/6/2014,ROBBERY,ARMED: HANDGUN,SIDEWALK,N,N,523
HX361912,7/6/2014,ASSAULT,AGG PO HANDS NO/MIN INJURY,SIDEWALK,Y,N,2523
HX334327,7/6/2014,ASSAULT,SIMPLE,SIDEWALK,N,N,613
HX334363,7/6/2014,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,N,424
HX334398,7/6/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,925
HX335006,7/6/2014,THEFT,$500 AND UNDER,STREET,N,N,815
HX342207,7/7/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,2023
HX346306,7/7/2014,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,N,N,2213
HX334518,7/7/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,224
HX334377,7/7/2014,ROBBERY,ATTEMPT: ARMED-HANDGUN,SIDEWALK,N,N,634
HY322017,7/7/2014,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,N,N,414
HX375369,7/7/2014,BURGLARY,UNLAWFUL ENTRY,ABANDONED BUILDING,N,N,831
HX339457,7/7/2014,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,APARTMENT,N,N,726
HX339200,7/7/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,321
HX339019,7/7/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,911
HX337600,7/7/2014,THEFT,$500 AND UNDER,OTHER,N,N,735
HX336272,7/7/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,814
HX354830,7/7/2014,MOTOR VEHICLE THEFT,"THEFT/RECOVERY: TRUCK,BUS,MHOME",PARKING LOT/GARAGE(NON.RESID.),N,N,1235
HX387683,7/7/2014,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,N,N,1232
HX351316,7/7/2014,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,N,N,613
HX356498,7/7/2014,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,N,N,2212
HX334719,7/7/2014,THEFT,OVER $500,RESIDENTIAL YARD (FRONT/BACK),N,N,1212
HX334928,7/7/2014,THEFT,OVER $500,STREET,N,N,633
HX334328,7/7/2014,BATTERY,SIMPLE,SIDEWALK,N,N,831
HX334334,7/7/2014,WEAPONS VIOLATION,UNLAWFUL USE OTHER DANG WEAPON,STREET,Y,N,1933
HX334379,7/7/2014,THEFT,$500 AND UNDER,OTHER,Y,N,2533
HX334332,7/7/2014,NARCOTICS,POSS: CRACK,SIDEWALK,Y,N,1531
HX334663,7/7/2014,THEFT,OVER $500,STREET,N,N,1024
HX334333,7/7/2014,BATTERY,SIMPLE,SIDEWALK,Y,N,1434
HX334378,7/7/2014,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,N,Y,711
HX334368,7/7/2014,ROBBERY,STRONGARM - NO WEAPON,STREET,N,N,411
HX334369,7/7/2014,ROBBERY,ARMED: OTHER DANGEROUS WEAPON,STREET,N,N,1224
HX334351,7/7/2014,THEFT,RETAIL THEFT,SMALL RETAIL STORE,N,N,2211
HX334339,7/7/2014,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,N,1021
HX334361,7/7/2014,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,ALLEY,Y,N,2232
HX334337,7/7/2014,BATTERY,AGGRAVATED: OTHER DANG WEAPON,BAR OR TAVERN,Y,N,2433
HX334685,7/7/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,735
HX334359,7/7/2014,NARCOTICS,POS: HYPODERMIC NEEDLE,STREET,Y,N,823
HX334344,7/7/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,Y,N,1112
HX335313,7/7/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,834
HX334349,7/7/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,Y,N,1821
HX335851,7/7/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT/GARAGE(NON.RESID.),Y,N,2522
HX334354,7/7/2014,BATTERY,AGGRAVATED: HANDGUN,STREET,N,N,822
HX334353,7/7/2014,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,N,Y,2234
HX334355,7/7/2014,ROBBERY,ARMED: HANDGUN,STREET,N,N,1731
HX334360,7/7/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,RESIDENCE,N,N,225
HX334348,7/7/2014,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,N,Y,621
HX334411,7/7/2014,ASSAULT,AGGRAVATED: HANDGUN,RESIDENCE,Y,Y,531
HX334383,7/7/2014,ROBBERY,VEHICULAR HIJACKING,STREET,N,N,726
HX334366,7/7/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,524
HX334814,7/7/2014,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,N,N,634
HX338921,7/7/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,314
HX340552,7/7/2014,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,RESIDENCE,N,N,1912
HX335477,7/7/2014,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,RESIDENCE,N,Y,423
HX334484,7/7/2014,THEFT,OVER $500,STREET,N,N,1931
HX334485,7/7/2014,THEFT,OVER $500,DRIVEWAY - RESIDENTIAL,N,N,2221
HX334630,7/7/2014,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,N,N,631
HX334498,7/7/2014,THEFT,$500 AND UNDER,STREET,N,N,431
HX334367,7/7/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,713
HX334397,7/7/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,835
HX334910,7/7/2014,THEFT,$500 AND UNDER,STREET,N,N,1411
HX334376,7/7/2014,ROBBERY,ATTEMPT: ARMED-KNIFE/CUT INSTR,SIDEWALK,N,N,1222
HX334374,7/7/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,Y,Y,1133
HX334387,7/7/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,Y,N,1523
HX334380,7/7/2014,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,RESIDENTIAL YARD (FRONT/BACK),Y,N,1523
HX334371,7/7/2014,BATTERY,AGGRAVATED: OTHER FIREARM,STREET,N,N,1112
HX334345,7/7/2014,HOMICIDE,FIRST DEGREE MURDER,VACANT LOT,N,N,2234
HX334352,7/7/2014,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,N,N,511
HX334373,7/7/2014,BATTERY,AGGRAVATED: HANDGUN,SIDEWALK,N,N,324
HX334419,7/7/2014,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,N,Y,1221
HX334391,7/7/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,PARK PROPERTY,Y,N,1925
HX334386,7/7/2014,NARCOTICS,POSS: COCAINE,STREET,Y,N,813
HX334390,7/7/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,1014
HX334396,7/7/2014,WEAPONS VIOLATION,UNLAWFUL POSS AMMUNITION,STREET,Y,N,1024
HX334395,7/7/2014,BATTERY,SIMPLE,OTHER,N,N,1914
HX334420,7/7/2014,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,STREET,Y,N,611
HX334406,7/7/2014,ARSON,AGGRAVATED,APARTMENT,N,N,835
HX334389,7/7/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,1132
HX334434,7/7/2014,BATTERY,AGGRAVATED OF A CHILD,APARTMENT,N,N,1024
HX334413,7/7/2014,BATTERY,SIMPLE,STREET,N,N,2532
HX334615,7/7/2014,BURGLARY,FORCIBLE ENTRY,RESIDENCE,N,N,332
HX334585,7/7/2014,THEFT,$500 AND UNDER,BAR OR TAVERN,N,N,1924
HX338157,7/7/2014,THEFT,$500 AND UNDER,STREET,N,N,523
HX335347,7/7/2014,BATTERY,SIMPLE,RESIDENCE,N,N,1113
HX334898,7/7/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,2011
HX334444,7/7/2014,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,CTA TRAIN,N,N,511
HX334409,7/7/2014,ASSAULT,SIMPLE,STREET,N,N,1722
HX334431,7/7/2014,ROBBERY,STRONGARM - NO WEAPON,PARK PROPERTY,N,N,114
HX334448,7/7/2014,BATTERY,SIMPLE,STREET,N,N,1111
HX334418,7/7/2014,ROBBERY,STRONGARM - NO WEAPON,CONVENIENCE STORE,Y,N,2512
HX334404,7/7/2014,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,STREET,Y,Y,323
HX334410,7/7/2014,BATTERY,AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST,APARTMENT,N,Y,825
HX334601,7/7/2014,BURGLARY,ATTEMPT FORCIBLE ENTRY,RESTAURANT,N,N,1031
HX334421,7/7/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,832
HX334911,7/7/2014,THEFT,$500 AND UNDER,STREET,N,N,2213
HX334438,7/7/2014,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,Y,Y,2233
HX334414,7/7/2014,ROBBERY,ARMED: HANDGUN,SIDEWALK,N,N,624
HX334424,7/7/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,1234
HX334432,7/7/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,631
HX334437,7/7/2014,ROBBERY,STRONGARM - NO WEAPON,STREET,Y,N,421
HX335539,7/7/2014,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,N,N,1412
HX334427,7/7/2014,BATTERY,SIMPLE,BAR OR TAVERN,N,N,1823
HX334426,7/7/2014,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,ALLEY,N,N,2535
HX334430,7/7/2014,BATTERY,SIMPLE,GAS STATION,Y,N,723
HX334611,7/7/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,1533
HX334664,7/7/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,524
HX338337,7/7/2014,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,N,N,1932
HX334433,7/7/2014,THEFT,$500 AND UNDER,STREET,N,N,821
HX334475,7/7/2014,THEFT,OVER $500,RESIDENCE-GARAGE,N,N,2521
HX334425,7/7/2014,BATTERY,DOMESTIC BATTERY SIMPLE,POLICE FACILITY/VEH PARKING LOT,N,Y,621
HX334436,7/7/2014,ASSAULT,SIMPLE,APARTMENT,N,Y,1824
HX334439,7/7/2014,BATTERY,SIMPLE,SIDEWALK,N,Y,232
HX334428,7/7/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,624
HX335345,7/7/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,324
HX334440,7/7/2014,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,N,N,815
HY114475,7/7/2014,OFFENSE INVOLVING CHILDREN,CHILD PORNOGRAPHY,RESIDENCE,N,N,1233
HX365725,7/7/2014,OTHER OFFENSE,LICENSE VIOLATION,RESTAURANT,N,N,1232
HX334441,7/7/2014,BATTERY,AGGRAVATED: HANDGUN,SIDEWALK,N,N,1232
HX334508,7/7/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,1532
HX334452,7/7/2014,BATTERY,AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST,VEHICLE NON-COMMERCIAL,N,Y,1821
HX334407,7/7/2014,HOMICIDE,FIRST DEGREE MURDER,STREET,N,N,424
HX334454,7/7/2014,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,SIDEWALK,N,N,1431
HX334445,7/7/2014,BATTERY,SIMPLE,SIDEWALK,N,N,1533
HX334843,7/7/2014,BURGLARY,UNLAWFUL ENTRY,APARTMENT,N,N,1434
HX336915,7/7/2014,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),N,N,925
HX334449,7/7/2014,MOTOR VEHICLE THEFT,ATT: AUTOMOBILE,STREET,N,N,133
HX335507,7/7/2014,THEFT,OVER $500,RESIDENTIAL YARD (FRONT/BACK),N,N,511
HX334450,7/7/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,1111
HX334451,7/7/2014,ROBBERY,STRONGARM - NO WEAPON,GAS STATION,N,N,2524
HX334459,7/7/2014,ROBBERY,ARMED: HANDGUN,SIDEWALK,N,N,2212
HX334462,7/7/2014,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,N,N,1434
HX334460,7/7/2014,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,N,N,1923
HX334466,7/7/2014,BATTERY,SIMPLE,SMALL RETAIL STORE,N,N,2431
HX334465,7/7/2014,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,N,N,1921
HX334477,7/7/2014,BATTERY,DOMESTIC BATTERY SIMPLE,VEHICLE NON-COMMERCIAL,N,Y,1632
HX334463,7/7/2014,CRIMINAL TRESPASS,TO RESIDENCE,APARTMENT,N,N,624
HX334954,7/7/2014,THEFT,$500 AND UNDER,STREET,N,N,531
HX336111,7/7/2014,THEFT,$500 AND UNDER,RESIDENCE-GARAGE,N,N,1033
